tamanho_hash,numero_registros,numero_colisoes,ocupacao_media_chaves,ocupacao_std_chaves
1000,20000,19000,20.0,4.438017575449651
10000,20000,11315,2.0,1.4084033513166603
100000,20000,1935,0.2,0.44873154558154255
1000,20000,19000,20.0,4.237688048924791
10000,20000,11347,2.0,1.4146377628212814
100000,20000,1888,0.2,0.4471465084287253
1000,20000,19000,20.0,4.236507995979708
10000,20000,11336,2.0,1.4092551223962253
100000,20000,1922,0.2,0.4486201065489598
1000,20000,19000,20.0,4.49822187091744
10000,20000,11352,2.0,1.4148498153514386
100000,20000,1860,0.2,0.447235955620744
1000,20000,19000,20.0,4.384518217546827
10000,20000,11368,2.0,1.4160508465447135
100000,20000,1854,0.2,0.44669900380457533
