tamanho_hash,numero_registros,elemento,indice_busca,tempo
1000,20000,hash+linkedlist,0,1.2305545806884765e-05
1000,20000,hash+list,0,8.5776686668396e-06
1000,20000,list,0,0.004508482110500336
10000,20000,hash+linkedlist,1,8.164215087890625e-06
10000,20000,hash+list,1,2.5692462921142577e-06
10000,20000,list,1,0.004716215300559997
100000,20000,hash+linkedlist,2,9.397268295288086e-06
100000,20000,hash+list,2,3.7510037422180174e-06
100000,20000,list,2,0.004742259645462036
1000,20000,hash+linkedlist,3,8.859729766845704e-06
1000,20000,hash+list,3,4.6030759811401366e-06
1000,20000,list,3,0.00461511036157608
10000,20000,hash+linkedlist,4,1.0276269912719726e-05
10000,20000,hash+list,4,2.644157409667969e-06
10000,20000,list,4,0.0048162925481796265
100000,20000,hash+linkedlist,5,1.1846578121185303e-05
100000,20000,hash+list,5,5.337893962860108e-06
100000,20000,list,5,0.004723649942874908
1000,20000,hash+linkedlist,6,1.0703277587890625e-05
1000,20000,hash+list,6,7.252192497253418e-06
1000,20000,list,6,0.00462952983379364
10000,20000,hash+linkedlist,7,1.1073648929595947e-05
10000,20000,hash+list,7,5.389034748077392e-06
10000,20000,list,7,0.004707346737384796
100000,20000,hash+linkedlist,8,5.96538782119751e-06
100000,20000,hash+list,8,4.383575916290283e-06
100000,20000,list,8,0.004775839638710022
1000,20000,hash+linkedlist,9,1.5865695476531984e-05
1000,20000,hash+list,9,8.709824085235595e-06
1000,20000,list,9,0.004640282440185547
10000,20000,hash+linkedlist,10,5.788922309875488e-06
10000,20000,hash+list,10,2.3440003395080567e-06
10000,20000,list,10,0.004721792483329773
100000,20000,hash+linkedlist,11,1.0672974586486817e-05
100000,20000,hash+list,11,4.687988758087158e-06
100000,20000,list,11,0.004718653011322021
1000,20000,hash+linkedlist,12,1.1797618865966796e-05
1000,20000,hash+list,12,5.0329327583312985e-06
1000,20000,list,12,0.00463326450586319
10000,20000,hash+linkedlist,13,6.033754348754883e-06
10000,20000,hash+list,13,3.7511110305786132e-06
10000,20000,list,13,0.004712277209758759
100000,20000,hash+linkedlist,14,8.904123306274415e-06
100000,20000,hash+list,14,3.1249284744262694e-06
100000,20000,list,14,0.004728597629070282
